"Valiutos pavadinimas";"Valiutos kodas";"Santykis";"Data"
"Australijos doleris";"AUD";"1,5011";"2017-09-22"
"Bulgarijos levas";"BGN";"1,9558";"2017-09-22"
"Brazilijos realas";"BRL";"3,7459";"2017-09-22"
"Kanados doleris";"CAD";"1,4675";"2017-09-22"
"Šveicarijos frankas";"CHF";"1,1588";"2017-09-22"
"Kinijos  ženminbi juanis";"CNY";"7,8805";"2017-09-22"
"Čekijos krona";"CZK";"26,046";"2017-09-22"
"Danijos krona";"DKK";"7,4407";"2017-09-22"
"Didžiosios Britanijos svaras sterlingų";"GBP";"0,88155";"2017-09-22"
"Honkongo doleris";"HKD";"9,3414";"2017-09-22"
"Kroatijos kuna";"HRK";"7,4843";"2017-09-22"
"Vengrijos forintas";"HUF";"309,73";"2017-09-22"
"Indonezijos rupija";"IDR";"15908,13";"2017-09-22"
"Izraelio  naujasis šekelis";"ILS";"4,1755";"2017-09-22"
"Indijos rupija";"INR";"77,501";"2017-09-22"
"Japonijos jena";"JPY";"134,01";"2017-09-22"
"Pietų Korėjos vonas";"KRW";"1352,78";"2017-09-22"
"Meksikos pesas";"MXN";"21,2905";"2017-09-22"
"Malaizijos ringitas";"MYR";"5,0117";"2017-09-22"
"Norvegijos krona";"NOK";"9,3193";"2017-09-22"
"Naujosios Zelandijos doleris";"NZD";"1,6336";"2017-09-22"
"Filipinų pesas";"PHP";"60,532";"2017-09-22"
"Lenkijos zlotas";"PLN";"4,2672";"2017-09-22"
"Rumunijos lėja";"RON";"4,5967";"2017-09-22"
"Rusijos rublis";"RUB";"68,8885";"2017-09-22"
"Švedijos krona";"SEK";"9,5358";"2017-09-22"
"Singapūro doleris";"SGD";"1,6093";"2017-09-22"
"Tailando batas";"THB";"39,579";"2017-09-22"
"Turkijos lira";"TRY";"4,1804";"2017-09-22"
"JAV doleris";"USD";"1,1961";"2017-09-22"
"Pietų Afrikos Respublikos randas";"ZAR";"15,8359";"2017-09-22"
